id,"name_type_of_cell_Line","contact","centre","comment","atcc_no_or_other_ref","str_profiled"
1,"DoHH2 -human","Li Jia","Haemato-Oncology","","",""
2,"CRL -human","Li Jia","Haemato-Oncology","","",""
3,"Su-DHL4 -human","Li Jia","Haemato-Oncology","","",""
4,"Su-DHL6 -human","Li Jia","Haemato-Oncology","","",""
5,"Su-DHL8 -human","Li Jia","Haemato-Oncology","","",""
6,"Su-DHL10 -human","Li Jia","Haemato-Oncology","","",""
7,"MEC1 -human","Li Jia","Haemato-Oncology","","",""
8,"HRC -human","Li Jia","Haemato-Oncology","","",""
9,"Sanchz -human","Li Jia","Haemato-Oncology","","",""
10,"OPM2 -human","Li Jia","Haemato-Oncology","","",""
11,"RPMI -human","Li Jia","Haemato-Oncology","","",""
12,"U266 -human","Li Jia","Haemato-Oncology","","",""
13,"L428 -human","Alan Ramsay","Haemato-Oncology","","",""
14,"L1236 -human","Alan Ramsay","Haemato-Oncology","","",""
15,"DoHH -human","Alan Ramsay","Haemato-Oncology","","",""
16,"CAPAN-1 -human","Alan Ramsay","Haemato-Oncology","","",""
17,"ASPC-1 -human","Alan Ramsay","Haemato-Oncology","","",""
18,"PS-1 -human","Alan Ramsay","Haemato-Oncology","","",""
19,"CEM (T cell leukaemia)","Andrew Brash","Haemato-Oncology","","",""
20,"CTS","Andrew Brash","Haemato-Oncology","","",""
21,"HL-60 (AML)","Andrew Brash","Haemato-Oncology","","",""
22,"Kasumi-6 (AML)","Andrew Brash","Haemato-Oncology","","",""
23,"KG-1 (AML)","Andrew Brash","Haemato-Oncology","","",""
24,"MOLT-4 (T-cell leukaemia)","Andrew Brash","Haemato-Oncology","","",""
25,"MV4-11 (AML)","Andrew Brash","Haemato-Oncology","","",""
26,"MOLM-13 (AML)","Andrew Brash","Haemato-Oncology","","",""
27,"TF-1 (AML)","Andrew Brash","Haemato-Oncology","","",""
28,"THP-1 (Acute monocytic leukaemia)","Andrew Brash","Haemato-Oncology","","",""
29,"HCT-116 (colorectal carcinoma)","Andrew Brash","Haemato-Oncology","","",""
30,"JVM-2 (CLL)","Andrew Brash","Haemato-Oncology","","",""
31,"MEC-1 (CLL)","Andrew Brash","Haemato-Oncology","","",""
32,"K562 (CML)","Andrew Brash","Haemato-Oncology","","",""
33,"OPM-2 (MM)","Andrew Brash","Haemato-Oncology","","",""
34,"RPMI8226 (MM)","Andrew Brash","Haemato-Oncology","","",""
35,"U266 (MM)","Andrew Brash","Haemato-Oncology","","",""
36,"MM.1S (MM)","Andrew Brash","Haemato-Oncology","","",""
37,"EJM (MM)","Andrew Brash","Haemato-Oncology","","",""
38,"KMS-12-BM (MM)","Andrew Brash","Haemato-Oncology","","",""
39,"MOLP-8 (MM)","Andrew Brash","Haemato-Oncology","","",""
40,"DHL-5 (DLBCL)","Andrew Brash","Haemato-Oncology","","",""
41,"DoHH2 (DLBCL)","Andrew Brash","Haemato-Oncology","","",""
42,"Granta-519 (MCL)","Andrew Brash","Haemato-Oncology","","",""
43,"JEKO-1 (MCL)","Andrew Brash","Haemato-Oncology","","",""
44,"RL (DLBCL ATCC# CRL-2261)","Andrew Brash","Haemato-Oncology","","",""
45,"U937 (AML)","Andrew Brash","Haemato-Oncology","","",""
46,"MCF-7 (Breast carcinoma)","Andrew Brash","Haemato-Oncology","","",""
47,"SW620 (colorectal carcinoma)","Andrew Brash","Haemato-Oncology","","",""
48,"TK6 (CML)","Andrew Brash","Haemato-Oncology","","",""
49,"NH32 (lymphoblastoid)","Andrew Brash","Haemato-Oncology","","",""
50,"WTK1 (lymphoblastoid)","Andrew Brash","Haemato-Oncology","","",""
51,"HS-5 (human stromal cell)","Andrew Brash","Haemato-Oncology","","",""
52,"HT29 (colon carcinoma)","Andrew Brash","Haemato-Oncology","","",""
53,"Caco2 (epithelial colorectal adenocarcinoma)","Andrew Brash","Haemato-Oncology","","",""
54,"SusaR (testicular germ cell tumor)","Andrew Brash","Haemato-Oncology","","",""
55,"T24 (bladder carcinoma)","Andrew Brash","Haemato-Oncology","","",""
56,"J82 (bladder carcinoma)","Andrew Brash","Haemato-Oncology","","",""
57,"NCI-H358 (lung cancer)","Andrew Brash","Haemato-Oncology","","",""
58,"NCI-H1975 (lung cancer)","Andrew Brash","Haemato-Oncology","","",""
59,"MDA231 (breast tumour)","Andrew Brash","Haemato-Oncology","","",""
60,"ACHN (renal carcinoma)","Andrew Brash","Haemato-Oncology","","",""
61,"LNCaP (prostate adenocarcinoma)","Andrew Brash","Haemato-Oncology","","",""
62,"HF-1 (FL)","Andrew Brash","Haemato-Oncology","","",""
63,"SKOV-3 (ovarian carcinoma)","Andrew Brash","Haemato-Oncology","","",""
64,"M2-10B4 -mouse","Farideh Miraki-Moud","Haemato-Oncology","","",""
65,"HuT 102 -human","Farideh Miraki-Moud","Haemato-Oncology","","",""
66,"IGROV-1","Gavin Craig","Cancer & Inflammation","","",""
67,"SKOV3","Gavin Craig","Cancer & Inflammation","","",""
68,"YAC-1","Gavin Craig","Cancer & Inflammation","","",""
69,"MB49","Gavin Craig","Cancer & Inflammation","","",""
70,"PANC02","Gavin Craig","Cancer & Inflammation","","",""
71,"IOSE","Gavin Craig","Cancer & Inflammation","","",""
72,"IOSE20","Gavin Craig","Cancer & Inflammation","","",""
73,"IOSE25","Gavin Craig","Cancer & Inflammation","","",""
74,"IOSE21","Gavin Craig","Cancer & Inflammation","","",""
75,"ICRF-23 (HuEFs)","Gavin Craig","Cancer & Inflammation","","",""
76,"ICRF-27 (HuEFs)","Gavin Craig","Cancer & Inflammation","","",""
77,"TOV-112B","Gavin Craig","Cancer & Inflammation","","",""
78,"TOV-21G","Gavin Craig","Cancer & Inflammation","","",""
79,"RAW 264-7","Gavin Craig","Cancer & Inflammation","","",""
80,"LLC","Gavin Craig","Cancer & Inflammation","","",""
81,"NIH3T3","Gavin Craig","Cancer & Inflammation","","",""
82,"TOV-21G-GFP","Gavin Craig","Cancer & Inflammation","","",""
83,"RENCA","Gavin Craig","Cancer & Inflammation","","",""
84,"SUIT-2","Gavin Craig","Cancer & Inflammation","","",""
85,"MiaPaCa2","Gavin Craig","Cancer & Inflammation","","",""
86,"BxPC3","Gavin Craig","Cancer & Inflammation","","",""
87,"Panc-1","Gavin Craig","Cancer & Inflammation","","",""
88,"A431 positive","Vipul Bhakta","Cancer Imaging","","CRL-1555","YES"
89,"BT474","Vipul Bhakta","Cancer Imaging","","30 - 4500K","YES"
90,"BXPC-3","Vipul Bhakta","Cancer Imaging","","CRL - 1687","YES"
91,"COLO357","Vipul Bhakta","Cancer Imaging","","","YES"
92,"Hep2b","Vipul Bhakta","Cancer Imaging","","","YES"
93,"HL60","Vipul Bhakta","Cancer Imaging","","CCL - 240","YES"
94,"HUH7","Vipul Bhakta","Cancer Imaging","","","YES"
95,"MIAPACA","Vipul Bhakta","Cancer Imaging","","CRL - 1420","YES"
96,"PANC1","Vipul Bhakta","Cancer Imaging","","CRL-1469","YES"
97,"SUIT 2","Vipul Bhakta","Cancer Imaging","","JCRB1094 ","YES"
98,"22Rv1","Vipul Bhakta","Molecular Oncology","","CRL-2505","YES"
99,"Aspc1","Vipul Bhakta","Molecular Oncology","","CRL-1682","YES"
100,"BXPC3","Vipul Bhakta","Molecular Oncology","","CRL - 1687","YES"
101,"DU145","Vipul Bhakta","Molecular Oncology","","HTB-81","YES"
102,"HEK293","Vipul Bhakta","Molecular Oncology","","CRL-1573","YES"
103,"Hs766t","Vipul Bhakta","Molecular Oncology","","HTB-130","YES"
104,"LNCaP ","Vipul Bhakta","Molecular Oncology","","CRL-1740","YES"
105,"LNCaP ","Vipul Bhakta","Molecular Oncology","","CRL-1740","YES"
106,"LNCaP C4-2B","Vipul Bhakta","Molecular Oncology","","CRL-1740","YES"
107,"PANC1","Vipul Bhakta","Molecular Oncology","","CRL-1469	 ","YES"
108,"PC3","Vipul Bhakta","Molecular Oncology","Prostate Cancer","CRL-1435","YES"
109,"PT45 original","Vipul Bhakta","Molecular Oncology","","First STR","YES"
110,"Suit2","Vipul Bhakta","Molecular Oncology","","First STR","YES"
111,"A172","Vipul Bhakta","Molecular Oncology","Human glioblastoma","",""
