"equipment_desc","room_number","location","contact","equip_shared_use","model","serial_no","pat_test","service_information","install_disposal_transfer_info","old_asset_no","db_entry_in_use_or_archived","equipment_type"
"Christ CT 02-50 SR (solvent resistant)","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Cooling Trap"
"Stuart Rotator SB3","211","Haem-Onc","Selina Blades","Yes","n/a","R000100630","2014","n/a","n/a","n/a","In use","Tube Rotator"
"TR Elga Purelab Option ","211","Haem-Onc","Selina Blades","Yes","n/a","SC-9275","2014","n/a","n/a","n/a","In use","Water purification system"
"TR Elga Purelab Option ","211","Haem-Onc","Selina Blades","Yes","n/a","QUEE67","2014","n/a","n/a","n/a","In use","Water purification system"
"Agilent Tech 1200 Series Degasser","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Degasser"
"Agilent Tech 1200 Series Quat Pump","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Quat Pump"
"Agilent Tech 1200 Series DLA","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","DLA"
"Agilent Tech 1200 Series Analyt FC","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Analyt FC"
"Agilent Tech 1200 Series DAD","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","DAD"
"Agilent Tech 1200 Series TTC","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","TTC"
"Sartorius 1712","211","Haem-Onc","Selina Blades","Yes","n/a","3309090","2014","n/a","n/a","n/a","In use","Balance"
"Sartorius BPHO","211","Haem-Onc","Selina Blades","Yes","n/a","121","2014","n/a","n/a","n/a","In use","Balance"
"Mettler AE240","305","Haem-Onc","Selina Blades","Yes","n/a","K38022","2014","n/a","n/a","n/a","In use","Balance"
"Acculab VIC-4MG","305","Haem-Onc","Selina Blades","Yes","n/a","22811835","2014","n/a","n/a","n/a","In use","Balance"
"Millipore Milli-Q Integral 5 (A10)","305","Haem-Onc","Selina Blades","Yes","n/a","F9AN50056E","2014","n/a","n/a","n/a","In use","Water purification system"
"Syngene Bioimaging Gene flash","305","Haem-Onc","Selina Blades","Yes","n/a","SYGF1082","2014","n/a","n/a","n/a","In use","Gel documentation and analysis system"
"Bibby HC502","305","Haem-Onc","Selina Blades","Yes","n/a","RO4612","2014","n/a","n/a","n/a","In use","Stirrer/hot plate"
"Panasonic","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Microwave"
"Biorad Trans-blot Turbo","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Transfer System"
"Eppendorf Thermomixer Comfort","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermomixer"
"Fujifilm LAS4000 mini (SJ)","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Chemiluminescence imager"
"Qiagen TissueLyser II","313","Haem-Onc","Selina Blades","Yes","n/a","128180214","2014","n/a","n/a","n/a","In use","Disruption system"
